description,HS6
vermouth and other wine of fresh grapes flavoured with plants or aromatic substances in containers holding more than 2 litres,220590.0
beverages fermented eg cider perry mead sake,
beverages fermented eg cider perry mead sake,220600.0
undenatured ethyl alcohol of an alcoholic strength by volume of 80 vol or higher,
undenatured ethyl alcohol of an alcoholic strength by volume of 80 vol or higher,220710.0
ethyl alcohol and other spirits denatured of any strength,220720.0
spirits obtained by distilling grape wine or grape marc,
spirits obtained by distilling grape wine or grape marc,220820.0
whiskies,220830.0
rum and other spirits obtained by distilling fermented sugarcane products,220840.0
gin and geneva,220850.0
vodka,220860.0
liqueurs and cordials,220870.0
spirits liqueurs and other spirituous beverages nec in heading no 2208,220890.0
vinegar and substitutes for vinegar obtained from acetic acid,
vinegar and substitutes for vinegar obtained from acetic acid,220900.0
flours meals and pellets of meat or meat offal greaves,
flours meals and pellets of meat or meat offal greaves,
flours meals and pellets of meat or meat offal greaves,230110.0
flours meals and pellets of fish or of crustaceans molluscs or other aquatic invertebrates,230120.0
bran sharps and other residues of maize corn whether or not in the form of pellets derived from the sifting milling or other workings thereof,
bran sharps and other residues of maize corn whether or not in the form of pellets derived from the sifting milling or other workings thereof,230210.0
bran sharps and other residues of wheat whether or not in the form of pellets derived from the sifting milling or other workings thereof,230230.0
bran sharps and other residues of other cereals whether or not in the form of pellets derived from the sifting milling or other workings thereof,230240.0
bran sharps and other residues of leguminous plants whether or not in the form of pellets derived from the sifting milling or other workings thereof,230250.0
residues of starch manufacture and similar residues whether or not in the form of pellets,
residues of starch manufacture and similar residues whether or not in the form of pellets,230310.0
beetpulp bagasse and other waste of sugar manufacture whether or not in the form of pellets,230320.0
brewing or distilling dregs and waste whether or not in the form of pellets,230330.0
oilcake and other solid residues whether or not ground or in the form of pellets resulting from the extraction of soyabean oil,
oilcake and other solid residues whether or not ground or in the form of pellets resulting from the extraction of soyabean oil,230400.0
oilcake and other solid residues whether or not ground or in the form of pellets resulting from the extraction of groundnut oil,
oilcake and other solid residues whether or not ground or in the form of pellets resulting from the extraction of groundnut oil,230500.0
oilcake and other solid residues whether or not ground or in the form of pellets resulting from the extraction of cotton seed oils,
oilcake and other solid residues whether or not ground or in the form of pellets resulting from the extraction of cotton seed oils,230610.0
oilcake and other solid residues whether or not ground or in the form of pellets resulting from the extraction of linseed oils,230620.0
oilcake and other solid residues whether or not ground or in the form of pellets resulting from the extraction of sunflower seed oils,230630.0
oilcake and other solid residues whether or not ground or in the form of pellets resulting from the extraction of low erucic acid rape or colza seed oils,230641.0
oilcake and other solid residues whether or not ground or in the form of pellets resulting from the extraction of rape seed oils other than low erucic acid rape or colza,230649.0
oilcake and other solid residues whether or not ground or in the form of pellets resulting from the extraction of coconut or copra seed oils,230650.0
oilcake and other solid residues whether or not ground or in the form of pellets resulting from the extraction of palm nuts or kernels oils,230660.0
oilcake and other solid residues whether or not ground or in the form of pellets resulting from the extraction of oils nec in heading no 2306,230690.0
wine lees argol,
wine lees argol,230700.0
vegetable materials and vegetable waste vegetable residues and byproducts whether or not in the form of pellets of a kind used in animal feeding not elsewhere specified or included,
vegetable materials and vegetable waste vegetable residues and byproducts whether or not in the form of pellets of a kind used in animal feeding not elsewhere specified or included,230800.0
dog or cat food put up for retail sale used in animal feeding,
dog or cat food put up for retail sale used in animal feeding,230910.0
dog or cat food not put up for retail sale used in animal feeding,230990.0
tobacco not stemmed or stripped,
tobacco not stemmed or stripped,
tobacco not stemmed or stripped,240110.0
tobacco partly or wholly stemmed or stripped,240120.0
tobacco refuse,240130.0
cigars cheroots and cigarillos containing tobacco including the weight of every band wrapper or attachment thereto,
cigars cheroots and cigarillos containing tobacco including the weight of every band wrapper or attachment thereto,240210.0
cigarettes containing tobacco,240220.0
cigars cigarillos and cheroots containing tobacco substitutes including the weight of every band wrapper or attachment thereto,240290.0
tobacco smoking water pipe tobacco as specified in subheading note 1 to this chapter whether or not containing tobacco substitutes in any proportion,
tobacco smoking water pipe tobacco as specified in subheading note 1 to this chapter whether or not containing tobacco substitutes in any proportion,240311.0
tobacco smoking other than water pipe tobacco whether or not containing tobacco substitutes in any proportion,240319.0
tobacco homogenised or reconstituted,240391.0
tobacco other than homogenised or reconstituted or smoking,240399.0
products containing tobacco or reconstituted tobacco intended for inhalation without combustion,
products containing tobacco or reconstituted tobacco intended for inhalation without combustion,240411.0
products containing nicotine other than tobacco or reconstituted tobacco intended for inhalation without combustion,240412.0
products containing tobacco or nicotine substitutes intended for inhalation without combustion,240419.0
products nec in heading 2404 intended for the intake of nicotine into the human body for oral application,240491.0
products nec in heading 2404 intended for the intake of nicotine into the human body for transdermal application,240492.0
products nec in heading 2404 intended for the intake of nicotine into the human body by ways other than inhalation and other than oral or transdermal application,240499.0
salt including table salt and denatured salt pure sodium chloride whether or not in aqueous solution sea water,
salt including table salt and denatured salt pure sodium chloride whether or not in aqueous solution sea water,
salt including table salt and denatured salt pure sodium chloride whether or not in aqueous solution sea water,250100.0
iron pyrites unroasted,
iron pyrites unroasted,250200.0
sulphur of all kinds other than sublimed precipitated and colloidal sulphur,
sulphur of all kinds other than sublimed precipitated and colloidal sulphur,250300.0
graphite natural in powder or in flakes,
graphite natural in powder or in flakes,250410.0
graphite natural in other forms excluding powder or flakes,250490.0
sands natural silica and quartz sands whether or not coloured,
sands natural silica and quartz sands whether or not coloured,250510.0
sands natural other than silica and quartz sands whether or not coloured other than metalbearing sands of chapter 26,250590.0
quartz other than natural sands,
quartz other than natural sands,250610.0
quartzite whether or not roughly trimmed or merely cut by sawing or otherwise into blocks or slabs of a rectangular including square shape,250620.0
kaolin and other kaolinic clays whether or not calcined,
kaolin and other kaolinic clays whether or not calcined,250700.0
clays excluding expanded clays of heading no 6806 bentonite whether or not calcined,
clays excluding expanded clays of heading no 6806 bentonite whether or not calcined,250810.0
clays excluding expanded clays of heading no 6806 fireclay whether or not calcined,250830.0
clays excluding expanded clays of heading no 6806 nec in heading no 2508 whether or not calcined,250840.0
clays excluding expanded clays of heading no 6806 andalusite kyanite and sillimanite whether or not calcined,250850.0
clays excluding expanded clays of heading no 6806 mullite,250860.0
clays excluding expanded clays of heading no 6806 chamotte or dinas earths,250870.0
chalk,
chalk,250900.0
natural calcium phosphates natural aluminium calcium phosphates and phosphatic chalk unground,
natural calcium phosphates natural aluminium calcium phosphates and phosphatic chalk unground,251010.0
natural calcium phosphates natural aluminium calcium phosphates and phosphatic chalk ground,251020.0
barium sulphate barytes natural,
barium sulphate barytes natural,251110.0
barium carbonate witherite natural whether or not calcined other than barium oxide of heading no 2816,251120.0
siliceous fossil meals eg kieselguhr tripolite and diatomite and similar siliceous earths whether or not calcined of an apparent specific gravity of 1 or less,
siliceous fossil meals eg kieselguhr tripolite and diatomite and similar siliceous earths whether or not calcined of an apparent specific gravity of 1 or less,251200.0
pumice stone whether or not heat treated,
pumice stone whether or not heat treated,251310.0
emery natural corundum natural garnet and other natural abrasives whether or not heattreated,251320.0
slate whether or not roughly trimmed or merely cut by sawing or otherwise into blocks or slabs of a rectangular including square shape,
slate whether or not roughly trimmed or merely cut by sawing or otherwise into blocks or slabs of a rectangular including square shape,251400.0
marble and travertine having a specific gravity of 25 or more crude or roughly trimmed by sawing or otherwise into blocks or slabs of a rectangular including square shape,
marble and travertine having a specific gravity of 25 or more crude or roughly trimmed by sawing or otherwise into blocks or slabs of a rectangular including square shape,251511.0
marble and travertine merely cut by sawing or otherwise into blocks or slabs of a rectangular including square shape having a specific gravity of 25 or more,251512.0
ecaussine and other calcareous monumental or building stone alabaster having a specific gravity of 25 or more,251520.0
granite crude or roughly trimmed,
granite crude or roughly trimmed,251611.0
granite merely cut by sawing or otherwise into blocks or slabs of a rectangular including square shape,251612.0
sandstone whether or not roughly trimmed cut by sawing etc into blocks or slabs of a rectangular including square shape,251620.0
monumental or building stone nec in heading no 2516 whether or not roughly trimmed or merely cut by sawing or otherwise into blocks or slabs of a rectangular including square shape,251690.0
pebbles gravel broken or crushed stone of a kind commonly used for concrete aggregates for road metalling or for railway or other ballast shingle and flint whether or not heattreated,
pebbles gravel broken or crushed stone of a kind commonly used for concrete aggregates for road metalling or for railway or other ballast shingle and flint whether or not heattreated,251710.0
macadam of slag dross or similar industrial waste whether or not incorporating the materials in tariff item 25171000,251720.0
tarred macadam,251730.0
stones of marble in granules chippings and powder whether or not heattreated,251741.0
stones of heading no 2515 or 2516 excluding marble in granules chippings and powder whether or not heattreated,251749.0
dolomite not calcined or sintered including dolomite roughly trimmed or merely cut by sawing or otherwise into blocks or slabs of rectangular including square shape,
dolomite not calcined or sintered including dolomite roughly trimmed or merely cut by sawing or otherwise into blocks or slabs of rectangular including square shape,251810.0
dolomite calcined or sintered including dolomite roughly trimmed or merely cut by sawing or otherwise into blocks or slabs of rectangular including square shape,251820.0
magnesium carbonate magnesite natural,
magnesium carbonate magnesite natural,251910.0
magnesia fused or deadburned sintered whether or not containing small quantities of other oxides added before sintering other magnesium oxide whether or not pure not natural magnesium carbonate,251990.0
gypsum anhydrite,
gypsum anhydrite,252010.0
plasters consisting of calcined gypsum or calcium sulphate whether or not coloured with or without small quantities of accelerators or retarders,252020.0
limestone flux limestone and other calcareous stone of a kind used for the manufacture of lime or cement,
limestone flux limestone and other calcareous stone of a kind used for the manufacture of lime or cement,252100.0
quicklime excluding calcium oxide and hydroxide of heading no 2825,
quicklime excluding calcium oxide and hydroxide of heading no 2825,252210.0
slaked lime excluding calcium oxide and hydroxide of heading no 2825,252220.0
hydraulic lime excluding calcium oxide and hydroxide of heading no 2825,252230.0
cement clinkers whether or not coloured,
cement clinkers whether or not coloured,252310.0
cement portland white whether or not artificially coloured,252321.0
cement portland other than white whether or not artificially coloured,252329.0
cement aluminous ciment fondu whether or not coloured or in the form of clinkers,252330.0
cement hydraulic kinds nec in heading no 2523,252390.0
asbestos crocidolite blue asbestos,
asbestos crocidolite blue asbestos,252410.0
asbestos other than crocidolite blue asbestos,252490.0
mica crude and rifted into sheets or splittings,
mica crude and rifted into sheets or splittings,252510.0
mica powder,252520.0
mica waste,252530.0
steatite natural not crushed or powdered whether or not roughly trimmed or merely cut by sawing or otherwise into blocks or slabs of a rectangular including square shape talc,
steatite natural not crushed or powdered whether or not roughly trimmed or merely cut by sawing or otherwise into blocks or slabs of a rectangular including square shape talc,252610.0
steatite natural crushed powdered whether or not roughly trimmed or merely cut by sawing or otherwise into blocks or slabs of a rectangular including square shape talc,252620.0
natural borates and concentrates thereof whether or not calcined but not including borates separated from natural brine natural boric acid containing not more than 85  of h3bo3 calculated on the dry weight,
natural borates and concentrates thereof whether or not calcined but not including borates separated from natural brine natural boric acid containing not more than 85  of h3bo3 calculated on the dry weight,252800.0
feldspar,
feldspar,252910.0
fluorspar containing by weight 97 or less of calcium fluoride,252921.0
fluorspar containing by weight more than 97 of calcium fluoride,252922.0
leucite nepheline and nepheline syenite,252930.0
vermiculite perlite and chlorites unexpanded,
vermiculite perlite and chlorites unexpanded,253010.0
kieserite epsomite natural magnesium sulphates,253020.0
mineral substances nec in chapter 25,253090.0
iron ores and concentrates nonagglomerated,
iron ores and concentrates nonagglomerated,
iron ores and concentrates nonagglomerated,260111.0
iron ores and concentrates agglomerated excluding roasted iron pyrites,260112.0
iron pyrites roasted,260120.0
manganese ores and concentrates including ferruginous manganese ores and concentrates with a manganese content of 20 or more calculated on the dry weight,
manganese ores and concentrates including ferruginous manganese ores and concentrates with a manganese content of 20 or more calculated on the dry weight,260200.0
copper ores and concentrates,
copper ores and concentrates,260300.0
nickel ores and concentrates,
nickel ores and concentrates,260400.0
cobalt ores and concentrates,
cobalt ores and concentrates,260500.0
aluminium ores and concentrates,
aluminium ores and concentrates,260600.0
lead ores and concentrates,
lead ores and concentrates,260700.0
zinc ores and concentrates,
zinc ores and concentrates,260800.0
tin ores and concentrates,
tin ores and concentrates,260900.0
chromium ores and concentrates,
chromium ores and concentrates,261000.0
tungsten ores and concentrates,
tungsten ores and concentrates,261100.0
uranium ores and concentrates,
uranium ores and concentrates,261210.0
thorium ores and concentrates,261220.0
molybdenum ores and concentrates roasted,
molybdenum ores and concentrates roasted,261310.0
molybdenum ores and concentrates other than roasted,261390.0
titanium ores and concentrates,
titanium ores and concentrates,261400.0
zirconium ores and concentrates,
zirconium ores and concentrates,261510.0
niobium tantalum vanadium ores and concentrates,261590.0
silver ores and concentrates,
silver ores and concentrates,261610.0
precious metal ores and concentrates excluding silver,261690.0
antimony ores and concentrates,
antimony ores and concentrates,261710.0
ores and concentrates nec in chapter 26 other than antimony,261790.0
slag granulated slag sand from the manufacture or iron or steel,
slag granulated slag sand from the manufacture or iron or steel,261800.0
slag dross other than granulated slag scalings and other waste from the manufacture of iron or steel,
slag dross other than granulated slag scalings and other waste from the manufacture of iron or steel,261900.0
slag ash and residues not from the manufacture of iron or steel containing mainly zinc hard zinc spelter,
slag ash and residues not from the manufacture of iron or steel containing mainly zinc hard zinc spelter,262011.0
slag ash and residues not from the manufacture of iron or steel containing mainly zinc other than hard zinc spelter,262019.0
slag ash and residues not from the manufacture of iron or steel containing mainly lead leaded gasoline sludges and leaded antiknock compound sludges,262021.0
slag ash and residues not from the manufacture of iron or steel containing mainly lead excluding leaded gasoline sludges and leaded antiknock compound sludges,262029.0
slag ash and residues not from the manufacture of iron or steel containing mainly copper,262030.0
slag ash and residues not from the manufacture of iron or steel containing mainly aluminium,262040.0
slag ash and residues not from the manufacture of iron or steel containing arsenic mercury thallium or their mixtures of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds,262060.0
slag ash and residues not from the manufacture of iron or steel containing antimony beryllium cadmium chromium or their mixtures,262091.0
slag ash and residues not from the manufacture of iron or steel containing mainly metals or their compounds nec in heading no 2620,262099.0
slag and ash ash and residues from the incineration of municipal waste,
slag and ash ash and residues from the incineration of municipal waste,262110.0
slag and ash nec in chapter 26 including seaweed ash kelp but excluding ash and residues from the incineration of municipal waste,262190.0
coal anthracite whether or not pulverised but not agglomerated,
coal anthracite whether or not pulverised but not agglomerated,
coal anthracite whether or not pulverised but not agglomerated,270111.0
coal bituminous whether or not pulverised but not agglomerated,270112.0
coal other than anthracite and bituminous whether or not pulverised but not agglomerated,270119.0
briquettes ovoids and similar solid fuels manufactured from coal,270120.0
lignite whether or not pulverised but not agglomerated excluding jet,
lignite whether or not pulverised but not agglomerated excluding jet,270210.0
lignite agglomerated excluding jet,270220.0
peat including peat litter whether or not agglomerated,
peat including peat litter whether or not agglomerated,270300.0
coke and semicoke of coal lignite or peat whether or not agglomerated retort carbon,
coke and semicoke of coal lignite or peat whether or not agglomerated retort carbon,270400.0
gases coal water producer and similar gases excluding petroleum and other gaseous hydrocarbons,
gases coal water producer and similar gases excluding petroleum and other gaseous hydrocarbons,270500.0
tar distilled from coal lignite or peat and other mineral tars whether or not dehydrated or partially distilled including reconstituted tars,
tar distilled from coal lignite or peat and other mineral tars whether or not dehydrated or partially distilled including reconstituted tars,270600.0
oils and products of the distillation of high temperature coal tar benzol benzene,
oils and products of the distillation of high temperature coal tar benzol benzene,270710.0
oils and products of the distillation of high temperature coal tar toluol toluene,270720.0
oils and products of the distillation of high temperature coal tar xylol xylenes,270730.0
oils and products of the distillation of high temperature coal tar naphthalene,270740.0
aromatic hydrocarbon mixtures nec in heading no 2707 of which 65 or more by volume including losses distils at 250 degrees celsius by the iso 3405 method equivalent to the astm d 86 method,270750.0
oils and other products of the distillation of high temperature coal tar creosote oils,270791.0
oils and other products of the distillation of high temperature coal tar nec in heading no 2707,270799.0
pitch obtained from coal tar or from other mineral tars,
pitch obtained from coal tar or from other mineral tars,270810.0
pitch coke obtained from coal tar or from other mineral tars,270820.0
oils petroleum oils and oils obtained from bituminous minerals crude,
oils petroleum oils and oils obtained from bituminous minerals crude,270900.0
petroleum oils and oils from bituminous minerals not containing biodiesel not crude not waste oils preparations nec containing by weight 70 or more of petroleum oils or oils from bituminous minerals light oils and preparations,
petroleum oils and oils from bituminous minerals not containing biodiesel not crude not waste oils preparations nec containing by weight 70 or more of petroleum oils or oils from bituminous minerals light oils and preparations,271012.0
petroleum oils and oils from bituminous minerals not containing biodiesel not crude not waste oils preparations nec containing by weight 70 or more of petroleum oils or oils from bituminous minerals not light oils and preparations,271019.0
petroleum oils and oils from bituminous minerals containing biodiesel not crude not waste oils preparations nec containing by weight 70 or more of petroleum oils or oils from bituminous minerals,271020.0
waste oils of petroleum or obtained from bituminous minerals not crude and preparations nec weight 70 or preparations of the same containing polychlorinated biphenyls pcbs polychorinated terphenyls pcts or polybrominated biphenyls pbbs,271091.0
waste oils of petroleum or obtained from bituminous minerals not crude and preparations nec weight 70 or preparations of the same not containing polychlorinated biphenyls pcbs polychorinated terphenyls pcts or polybrominated biphenyls pbbs,271099.0
petroleum gases and other gaseous hydrocarbons liquefied natural gas,
petroleum gases and other gaseous hydrocarbons liquefied natural gas,271111.0
petroleum gases and other gaseous hydrocarbons liquefied propane,271112.0
petroleum gases and other gaseous hydrocarbons liquefied butanes,271113.0
petroleum gases and other gaseous hydrocarbons liquefied ethylene propylene butylene and butadiene,271114.0
petroleum gases and other gaseous hydrocarbons liquefied nec in heading no 2711,271119.0
petroleum gases and other gaseous hydrocarbons in gaseous state natural gas,271121.0
petroleum gases and other gaseous hydrocarbons in gaseous state other than natural gas,271129.0
petroleum jelly,
petroleum jelly,271210.0
paraffin wax containing by weight less than 075 of oil obtained by synthesis or by other processes whether or not coloured,271220.0
paraffin wax containing by weight 075 or more of oil obtained by synthesis or by other processes whether or not coloured,271290.0
petroleum coke not calcined obtained from bituminous minerals,
petroleum coke not calcined obtained from bituminous minerals,271311.0
petroleum coke calcined obtained from bituminous minerals,271312.0
petroleum bitumen obtained from bituminous minerals,271320.0
residues of petroleum oils or of oils obtained from bituminous minerals,271390.0
bituminous or oil shale and tar sands,
bituminous or oil shale and tar sands,271410.0
bitumen and asphalt natural asphaltites and asphaltic rock,271490.0
bituminous mixtures based on natural asphalt on natural bitumen on petroleum bitumen on mineral tar or on mineral tar pitch eg bituminous mastics cutbacks,
bituminous mixtures based on natural asphalt on natural bitumen on petroleum bitumen on mineral tar or on mineral tar pitch eg bituminous mastics cutbacks,271500.0
electrical energy,
electrical energy,271600.0
chlorine,
chlorine,
chlorine,280110.0
iodine,280120.0
fluorine bromine,280130.0
sulphur sublimed or precipitated colloidal sulphur,
sulphur sublimed or precipitated colloidal sulphur,280200.0
carbon carbon blacks and other forms of carbon nec,
carbon carbon blacks and other forms of carbon nec,280300.0
hydrogen,
hydrogen,280410.0
gases rare argon,280421.0
gases rare other than argon,280429.0
nitrogen,280430.0
oxygen,280440.0
boron tellurium,280450.0
silicon containing by weight not less than 9999 of silicon,280461.0
silicon containing by weight less than 9999 of silicon,280469.0
phosphorus,280470.0
arsenic,280480.0
selenium,280490.0
alkali or alkaliearth metals sodium,
alkali or alkaliearth metals sodium,280511.0
alkali or alkaliearth metals calcium,280512.0
alkali or alkaliearth metals other than sodium and calcium,280519.0
earthmetals rare scandium and yttrium whether or not intermixed or interalloyed,280530.0
mercury,280540.0
hydrogen chloride hydrochloric acid,
hydrogen chloride hydrochloric acid,280610.0
chlorosulphuric acid,280620.0
sulphuric acid oleum,
sulphuric acid oleum,280700.0
nitric acid sulphonitric acids,
nitric acid sulphonitric acids,280800.0
diphosphorus pentoxide,
diphosphorus pentoxide,280910.0
phosphoric acid and polyphosphoric acids,280920.0
oxides of boron boric acids,
oxides of boron boric acids,281000.0
hydrogen fluoride hydrofluoric acid,
hydrogen fluoride hydrofluoric acid,281111.0
hydrogen cyanide hydrocyanic acid,281112.0
inorganic acids other than hydrogen fluoride,281119.0
carbon dioxide,281121.0
silicon dioxide,281122.0
inorganic oxygen compounds of nonmetals nec in item no 28112,281129.0
carbonyl dichloride phosgene,
carbonyl dichloride phosgene,281211.0
phosphorus oxychloride,281212.0
phosphorus trichloride,281213.0
phosphorus pentachloride,281214.0
sulphur monochloride,281215.0
sulphur dichloride,281216.0
thionyl chloride,281217.0
arsenic trichloride and other chlorides and chloride oxides nec in item no 2812,281219.0
halides and halide oxides of nonmetals excluding chloride,281290.0
carbon disulphide,
carbon disulphide,281310.0
sulphides of nonmetals excluding carbon commercial phosphorus trisulphide,281390.0
ammonia anhydrous,
ammonia anhydrous,281410.0
ammonia in aqueous solution,281420.0
sodium hydroxide caustic soda solid,
sodium hydroxide caustic soda solid,281511.0
sodium hydroxide caustic soda in aqueous solution soda lye or liquid soda,281512.0
potassium hydroxide caustic potash,281520.0
peroxides of sodium or potassium,281530.0
hydroxide and peroxide of magnesium,
hydroxide and peroxide of magnesium,281610.0
oxides hydroxides and peroxides of strontium or barium,281640.0
zinc oxide and peroxide,
zinc oxide and peroxide,281700.0
aluminium oxide artificial corundum,
aluminium oxide artificial corundum,281810.0
aluminium oxide other than artificial corundum,281820.0
aluminium hydroxide,281830.0
chromium trioxide,
chromium trioxide,281910.0
chromium oxides and hydroxides excluding chromium trioxide,281990.0
manganese dioxide,
manganese dioxide,282010.0
manganese oxides excluding manganese dioxide,282090.0
iron oxides and hydroxides,
iron oxides and hydroxides,282110.0
earth colours containing 70 or more by weight of combined iron evaluated as fe2o3,282120.0
cobalt oxides and hydroxides commercial cobalt oxides,
cobalt oxides and hydroxides commercial cobalt oxides,282200.0
titanium oxides,
titanium oxides,282300.0
lead lead monoxide litharge massicot,
lead lead monoxide litharge massicot,282410.0
lead oxides nec in heading no 2824,282490.0
hydrazine and hydroxylamine and their inorganic salts,
hydrazine and hydroxylamine and their inorganic salts,282510.0
lithium oxide and hydroxide,282520.0
vanadium oxides and hydroxides,282530.0
nickel oxides and hydroxides,282540.0
copper oxides and hydroxides,282550.0
germanium oxides and zirconium dioxide,282560.0
molybdenum oxides and hydroxides,282570.0
antimony oxides,282580.0
inorganic bases metal oxides hydroxides and peroxides nec in heading no 2825,282590.0
fluorides of aluminium,
fluorides of aluminium,282612.0
fluorides other than of aluminium,282619.0
sodium hexafluoroaluminate synthetic cryolite,282630.0
fluorides fluorosilicates fluoroaluminates and other complex fluorine salts nec in heading no 2826,282690.0
chlorides of ammonium,
chlorides of ammonium,282710.0
chlorides of calcium,282720.0
chlorides of magnesium,282731.0
chlorides of aluminium,282732.0
chlorides of nickel,282735.0
chlorides other than of ammonium calcium magnesium aluminium and nickel,282739.0
chloride oxides and chloride hydroxides of copper,282741.0
chloride oxides and chloride hydroxides other than of copper,282749.0
bromides of sodium or of potassium,282751.0
bromides and bromide oxides other than item no 282751,282759.0
iodides and iodide oxides,282760.0
hypochlorites commercial calcium hypochlorite and other calcium hypochlorites,
hypochlorites commercial calcium hypochlorite and other calcium hypochlorites,282810.0
hypochlorites nec in heading no 2828,282890.0
chlorates of sodium,
chlorates of sodium,282911.0
chlorates other than sodium,282919.0
perchlorates bromates and perbromates iodates and periodates,282990.0
sulphides of sodium whether or not chemically defined,
sulphides of sodium whether or not chemically defined,283010.0
sulphides and polysulphides whether or not chemically defined other than sulphides of sodium,283090.0
dithionites and sulphoxylates of sodium,
dithionites and sulphoxylates of sodium,283110.0
dithionites and sulphoxylates other than sodium,283190.0
sulphites of sodium,
sulphites of sodium,283210.0
sulphites other than of sodium,283220.0
thiosulphates,283230.0
sodium sulphates disodium sulphate,
sodium sulphates disodium sulphate,283311.0
sodium sulphates other than disodium sulphate,283319.0
sulphates of magnesium,283321.0
sulphates of aluminium,283322.0
sulphates of nickel,283324.0
sulphates of copper,283325.0
sulphates of barium,283327.0
sulphates nec in item no 28332,283329.0
alums,283330.0
peroxosulphates persulphates,283340.0
nitrites,
nitrites,283410.0
nitrates of potassium,283421.0
nitrates of other than potassium,283429.0
phosphinates hypophosphites and phosphonates phosphites whether or not chemically defined,
phosphinates hypophosphites and phosphonates phosphites whether or not chemically defined,283510.0
phosphates of mono or disodium whether or not chemically defined,283522.0
phosphates of potassium whether or not chemically defined,283524.0
phosphates calcium hydrogenorthophosphate dicalcium phosphate whether or not chemically defined,283525.0
phosphates of calcium nec in item no 283525 whether or not chemically defined,283526.0
phosphates other than of mono or disodium other than of potassium or of calcium hydrogenorthophosphate dicalcium phosphate and excluding other phosphates of calcium whether or not chemically defined,283529.0
polyphosphates sodium triphosphate sodium tripolyphosphate whether or not chemically defined,283531.0
polyphosphates other than sodium triphosphate sodium tripolyphosphate whether or not chemically defined,283539.0
carbonates disodium carbonate,
carbonates disodium carbonate,283620.0
carbonates sodium hydrogen carbonate sodium bicarbonate,283630.0
carbonates potassium carbonate,283640.0
carbonates calcium carbonate,283650.0
carbonates barium carbonate,283660.0
carbonates lithium carbonate,283691.0
carbonates strontium carbonate,283692.0
carbonates nec in heading no 2836 and other than lithium or strontium,283699.0
cyanides and cyanide oxides of sodium,
cyanides and cyanide oxides of sodium,283711.0
cyanides and cyanide oxides other than of sodium,283719.0
complex cyanides,283720.0
silicates sodium metasilicates,
silicates sodium metasilicates,283911.0
silicates of sodium excluding sodium metasilicates,283919.0
silicates commercial alkali metal silicates other than of sodium,283990.0
borates disodium tetraborate refined borax anhydrous,
borates disodium tetraborate refined borax anhydrous,284011.0
borates disodium tetraborate refined borax other than anhydrous,284019.0
borates nec in heading no 2840,284020.0
peroxoborates perborates,284030.0
salts sodium dichromate,
salts sodium dichromate,284130.0
salts chromates dichromates peroxochromates nec in heading no 2841,284150.0
salts of oxometallic or peroxometallic acids manganites manganates and permanganates potassium permanganate,284161.0
salts of oxometallic or peroxometallic acids manganites manganates and permanganates other than potassium permanganate,284169.0
salts molybdates,284170.0
salts tungstates wolframates,284180.0
salts of oxometallic or peroxometallic acids nec in heading no 2841,284190.0
salts of inorganic acids or peroxoacids double or complex silicates including aluminosilicates whether or not chemically defined excluding azides,
salts of inorganic acids or peroxoacids double or complex silicates including aluminosilicates whether or not chemically defined excluding azides,284210.0
salts of inorganic acids or peroxoacids other than double or complex silicates including aluminosilicates whether or not chemically excluding azides,284290.0
colloidal precious metals whether or not chemically defined,
colloidal precious metals whether or not chemically defined,284310.0
silver compounds silver nitrates,284321.0
silver compounds excluding silver nitrates,284329.0
gold compounds,284330.0
inorganic or organic compounds of precious metals nec amalgams,284390.0
uranium natural uranium and its compounds alloys dispersions including cermets ceramic products and mixtures containing natural uranium or natural uranium compounds,
uranium natural uranium and its compounds alloys dispersions including cermets ceramic products and mixtures containing natural uranium or natural uranium compounds,284410.0
uranium enriched in u235 plutonium their compounds alloys dispersions including cermets ceramic products and mixtures containing uranium enriched in u235 plutonium or compounds of these products,284420.0
uranium depleted in u235 thorium their compounds alloys dispersions including cermets ceramic products and mixtures containing uranium depleted in u235 thorium compounds of these products,284430.0
radioactive elements tritium and its compounds alloys dispersions including cermets ceramic products and mixtures containing tritium or its compounds,284441.0
radioactive elements actinium225 227 californium253 curium240 241 242 243 244 einsteinium253 254 gadolinium148 polonium208 209 210 radium223 uranium230 or 232 compounds alloys dispersions ceramic products and mixtures,284442.0
radioactive elements isotopes and compounds other alloys dispersions including cermets ceramic products and mixtures containing these elements isotopes or compounds,284443.0
radioactive elements isotopes compounds nec in heading no 2844 alloys dispersions including cermets ceramic products mixtures containing the elements isotopes compounds radioactive residues,284444.0
spent irradiated fuel elements cartridges of nuclear reactors,284450.0
heavy water deuterium oxide,
heavy water deuterium oxide,284510.0
boron enriched in boron10 and its compounds,284520.0
lithium enriched in lithium6 and its compounds,284530.0
helium3,284540.0
isotopes other than those of heading no 2844 284520 284530 or 284540 compounds inorganic or organic of such isotopes whether or not chemically defined,284590.0
cerium compounds,
cerium compounds,284610.0
compounds inorganic or organic excluding cerium of rareearth metals of yttrium scandium or of mixtures of these metals,284690.0
hydrogen peroxide whether or not solidified with urea,
hydrogen peroxide whether or not solidified with urea,284700.0
carbides of calcium whether or not chemically defined,
carbides of calcium whether or not chemically defined,284910.0
carbides of silicon whether or not chemically defined,284920.0
